,articlecode,category,heading,href,price,quality,swatches
1921,0712844001,men_shoes_sneakers,Sneakers van mesh,/nl_nl/productpage.0712844001.html,49.99,,['Zwart/luipaarddessin']
1922,0669393001,men_shoes_sneakers,Sneakers van mesh,/nl_nl/productpage.0669393001.html,49.99,,['Donkerblauw/zwart']
1923,0747942001,men_shirts_shortsleeved,Overhemd van linnenmix,/nl_nl/productpage.0747942001.html,24.99,,['Donkerblauw/geruit']
1924,0550827012,men_hoodiessweatshirts,Sweater van zijdemix,/nl_nl/productpage.0550827012.html,49.99,,['Zwart']
1925,0738701003,men_accessories_jewellery,Set van 4 armbanden,/nl_nl/productpage.0738701003.html,7.99,,['Zwart/zilverkleurig']
1926,0762379006,men_tshirtstanks_shortsleeve,Katoenen T-shirt,/nl_nl/productpage.0762379006.html,9.99,,['Zwart/London']
1927,0509415003,men_underwearloungewear,Katoenen longjohns,/nl_nl/productpage.0509415003.html,12.99,,['Lichtgrijs gemêleerd']
1928,0595592005,men_shirts_casual,Overhemd met halsboordje,/nl_nl/productpage.0595592005.html,39.99,,['Lichtblauw']
1929,0561758015,men_accessories_sunglasses,Zonnebril,/nl_nl/productpage.0561758015.html,7.99,,['Donkergeel']
1930,0736102003,men_sport_bottoms,Sportjoggers,/nl_nl/productpage.0736102003.html,29.99,,['Beige gemêleerd']
1931,0691072005,men_hoodiessweatshirts_sweatshirts,Sweater - Regular fit,/nl_nl/productpage.0691072005.html,14.99,,['Donkerbeige']
1932,0638114001,men_shorts,Knielange twill short,/nl_nl/productpage.0638114001.html,24.99,,['Donkergrijs']
1933,0633172007,men_tshirtstanks_shortsleeve,T-shirt met plooitjes,/nl_nl/productpage.0633172007.html,12.99,,['Zwart']
1934,0608019003,men_accessories_hatsandgloves,Strooien hoed met dessin,/nl_nl/productpage.0608019003.html,9.99,,['Beige/bladdessin']
1935,0626386002,men_shorts_denim,Denim short - Straight fit,/nl_nl/productpage.0626386002.html,24.99,,['Lichtgrijs']
1936,0452898031,men_shorts,Sweatshort,/nl_nl/productpage.0452898031.html,14.99,,['Donkerblauw gemêleerd']
1937,0714033001,men_trousers_trousers_regular_all,Kostuumpantalon - Regular fit,/nl_nl/productpage.0714033001.html,24.99,,['Zwart']
1938,0695324004,men_shirts_casual,Overhemd - Regular Fit,/nl_nl/productpage.0695324004.html,19.99,,['Donkerblauw/wit geruit']
1939,0719952004,men_sport_bottoms,Hardloopshort,/nl_nl/productpage.0719952004.html,19.99,,['Grijs']
1940,0752742009,men_tshirtstanks_tanks,Katoenen tanktop,/nl_nl/productpage.0752742009.html,6.99,,['Zwart/Thunderstorm']
1941,0557908020,men_shirts_casual,Overhemd - Slim Fit,/nl_nl/productpage.0557908020.html,14.99,,['Lichtblauw/zwart geruit']
1942,0283236014,men_shirts_casual,Katoenen overhemd Regular fit,/nl_nl/productpage.0283236014.html,14.99,,['Lichtblauw/chambray']
1943,0752334001,men_shoes_sandals_espandrillos,Badslippers met print,/nl_nl/productpage.0752334001.html,14.99,,['Wit/Miami Vice']
1944,0759118001,men_tshirtstanks_shortsleeve,T-shirt van stevig tricot,/nl_nl/productpage.0759118001.html,14.99,,['Wit']
1945,0283236028,men_shirts_casual,Katoenen overhemd Regular fit,/nl_nl/productpage.0283236028.html,14.99,,['Lichtroze']
1946,0567418029,men_tshirtstanks_shortsleeve,T-shirt van katoenen piqué,/nl_nl/productpage.0567418029.html,12.99,,['Lichtgrijs gemêleerd']
1947,0570002007,men_tshirtstanks_shortsleeve,T-shirt - Slim fit,/nl_nl/productpage.0570002007.html,7.99,,['Kakigroen gemêleerd']
1948,0688892002,men_trousers_casual,Katoenen pull-on broek,/nl_nl/productpage.0688892002.html,19.99,,['Donker kakigroen']
1949,0547735004,men_jacketscoats_coats,Jas van kasjmiermix,/nl_nl/productpage.0547735004.html,249.00,,['Donkerblauw']
1950,0732712003,men_accessories_beltsandbraces,Stoffen riem,/nl_nl/productpage.0732712003.html,7.99,,['Gebroken wit']
1951,0701135012,men_hoodiessweatshirts_sweatshirts,Sweater met print,/nl_nl/productpage.0701135012.html,19.99,,['D.blauw/Shores of the pacific']
1952,0615304012,men_shirts_shortsleeved,Katoenen overhemd met dessin,/nl_nl/productpage.0615304012.html,14.99,,['Wit/flamingo‘s']
1953,0421387041,men_sport_tops,Hardloopshirt met korte mouwen,/nl_nl/productpage.0421387041.html,14.99,,['Groen/dessin']
1954,0762375006,men_tshirtstanks_shortsleeve,T-shirt van katoenen tricot,/nl_nl/productpage.0762375006.html,14.99,,['Zwart/The Lion King']
1955,0705143002,ladies_accessories_other,Kabelgebreide hondentrui,/nl_nl/productpage.0705143002.html,12.99,,['Grijs gemêleerd']
1956,0452898024,men_shorts,Sweatshort,/nl_nl/productpage.0452898024.html,14.99,,['Groen']
1957,0656668002,men_tshirtstanks_shortsleeve,T-shirt - Muscle fit,/nl_nl/productpage.0656668002.html,12.99,,['Donkergroen']
1958,0761149002,men_accessories_bags,Schoudertas,/nl_nl/productpage.0761149002.html,19.99,,['Bruin/slangenleerdessin']
1959,0630659005,men_shoes_dressed,Derbyschoenen,/nl_nl/productpage.0630659005.html,39.99,,['Bruin/imitatieleer']
1960,0653275019,men_sport_tops,Sportshirt met korte mouwen,/nl_nl/productpage.0653275019.html,9.99,,['Blauw gemêleerd']
